file,verdict,note
0056,,auto:water_too_large water_frac=0.97105 score=0.9846
0175,,auto:water_too_large water_frac=0.92648 score=0.9849
0019,,auto:water_too_large water_frac=0.95372 score=0.9863
0189,,auto:water_too_large water_frac=0.94502 score=0.9897
0182,,auto:water_too_large water_frac=0.9758 score=0.9946
0667,ok,
1339,ok,
0971,ok,
0681,ok,
1393,ok,
0646,ok,
0631,ok,
2301,ok,
1606,ok,
1128,ok,
0700,ok,
1482,ok,
2884,ok,
1130,ok,
2359,ok,
1665,ok,
1376,ok,
0913,ok,
2618,ok,
0852,ok,
1094,ok,
1469,ok,
0443,ok,
1029,ok,
0833,ok,
0195,ok,
0441,ok,
1477,ok,
1968,ok,
2632,ok,
1687,ok,
1105,ok,
1322,ok,
1994,ok,
2631,ok,
1545,ok,
1644,ok,
1402,ok,
2971,ok,
2931,ok,
1464,ok,
0810,ok,
2577,ok,
2528,ok,
0628,ok,
2603,ok,
2832,ok,
2726,ok,
1654,ok,
1905,ok,
0940,ok,
2753,ok,
0938,ok,
2713,ok,
1471,ok,
0893,ok,
2103,ok,
2644,ok,
0226,ok,
2819,ok,
2518,ok,
1534,ok,
2825,ok,
1139,ok,
2388,ok,
1287,ok,
2145,ok,
1833,ok,
2345,ok,
1226,ok,
1084,ok,
2015,ok,
0991,ok,
0040,ok,
2317,ok,
2701,ok,
0968,ok,
1154,ok,
1729,ok,
2591,ok,
2690,ok,
2911,ok,
0812,ok,
0868,ok,
2905,ok,
0356,ok,
2946,ok,
1011,ok,
1145,ok,
2340,ok,
0475,ok,
1672,ok,
1050,ok,
1331,ok,
2897,ok,
0464,ok,
1225,ok,
0461,ok,
1063,ok,
2162,ok,
2241,ok,
0399,ok,
1706,ok,
1504,ok,
2608,ok,
2329,ok,
1300,ok,
2887,ok,
0623,ok,
1273,ok,
2702,ok,
2722,ok,
0478,ok,
0930,ok,
2256,ok,
2639,ok,
1556,ok,
1294,ok,
1713,ok,
1179,ok,
0995,ok,
2511,ok,
2237,ok,
2882,ok,
0695,ok,
2903,ok,
1370,ok,
1424,ok,
2822,ok,
2730,ok,
0486,ok,
1075,ok,
1224,ok,
2105,ok,
2486,ok,
2687,ok,
2751,ok,
0044,ok,
0750,ok,
2368,ok,
1157,ok,
0576,ok,
0999,ok,
1222,ok,
2658,ok,
2257,ok,
0492,ok,
1887,ok,
2648,ok,
2790,ok,
1109,ok,
2553,ok,
2590,ok,
2716,ok,
1216,ok,
0437,ok,
2735,ok,
1488,ok,
1893,ok,
0615,ok,
1329,ok,
1419,ok,
1523,ok,
1156,ok,
1636,ok,
2674,ok,
1213,ok,
2667,ok,
2543,ok,
1360,ok,
0961,ok,
1383,ok,
1448,ok,
1460,ok,
2846,ok,
2341,ok,
2764,ok,
2485,ok,
2697,ok,
1728,ok,
1153,ok,
2952,ok,
1675,ok,
1915,ok,
2934,ok,
2984,ok,
0293,ok,
2721,ok,
2956,ok,
0799,ok,
1740,ok,
2308,ok,
1472,ok,
1976,ok,
1758,ok,
2147,ok,
2525,ok,
0503,ok,
1247,ok,
2282,ok,
2601,ok,
2158,ok,
2287,ok,
2296,ok,
0846,ok,
1844,ok,
1188,ok,
1348,ok,
2465,ok,
0534,ok,
0052,ok,
1896,ok,
0713,ok,
0851,ok,
1737,ok,
2160,ok,
0797,ok,
1430,ok,
2989,ok,
1510,ok,
0636,ok,
1433,ok,
2076,ok,
1230,ok,
2519,ok,
2142,ok,
2677,ok,
2711,ok,
2933,ok,
2875,ok,
1330,ok,
2451,ok,
2580,ok,
0787,ok,
0962,ok,
2242,ok,
2398,ok,
2732,ok,
0989,ok,
1876,ok,
0933,ok,
2073,ok,
1866,ok,
0389,ok,
1977,ok,
1689,ok,
2086,ok,
1028,ok,
1500,ok,
0547,ok,
0944,ok,
1505,ok,
0928,ok,
1253,ok,
2668,ok,
0386,ok,
2506,ok,
2244,ok,
0927,ok,
1617,ok,
2324,ok,
2469,ok,
1320,ok,
1936,ok,
1121,ok,
2434,ok,
2247,ok,
2030,ok,
0860,ok,
1203,ok,
0500,ok,
2944,ok,
0879,ok,
1078,ok,
2763,ok,
1501,ok,
2154,ok,
2280,ok,
2031,ok,
1422,ok,
2811,ok,
1547,ok,
1126,ok,
0825,ok,
2760,ok,
0540,ok,
2851,ok,
1338,ok,
2380,ok,
1069,ok,
2548,ok,
0880,ok,
0982,ok,
0507,ok,
2118,ok,
1443,ok,
0950,ok,
1701,ok,
2022,ok,
2137,ok,
2510,ok,
0901,ok,
2966,ok,
0400,ok,
2533,ok,
2613,ok,
1260,ok,
1479,ok,
1650,ok,
1897,ok,
2532,ok,
0906,ok,
1579,ok,
0069,ok,
2854,ok,
1263,ok,
0460,ok,
1238,ok,
1266,ok,
1895,ok,
2271,ok,
2106,ok,
1539,ok,
1907,ok,
1961,ok,
2857,ok,
1916,ok,
2122,ok,
2864,ok,
1387,ok,
1600,ok,
2096,ok,
1326,ok,
0523,ok,
2399,ok,
0581,ok,
0606,ok,
1182,ok,
2896,ok,
2961,ok,
1279,ok,
2255,ok,
2306,ok,
0517,ok,
2216,ok,
1026,ok,
1520,ok,
1676,ok,
2383,ok,
2845,ok,
1379,ok,
3000,ok,
0723,ok,
1113,ok,
2645,ok,
0619,ok,
1375,ok,
1067,ok,
1399,ok,
1899,ok,
2157,ok,
2513,ok,
1397,ok,
2357,ok,
1818,ok,
2124,ok,
0580,ok,
0838,ok,
1036,ok,
1239,ok,
2087,ok,
2766,ok,
0414,ok,
1125,ok,
1788,ok,
0448,ok,
0051,ok,
0794,ok,
2156,ok,
2569,ok,
2977,ok,
0730,ok,
0709,ok,
0909,ok,
2115,ok,
1473,ok,
2042,ok,
2334,ok,
1861,ok,
1516,ok,
2831,ok,
2951,ok,
0677,ok,
2502,ok,
2551,ok,
2863,ok,
0397,ok,
0453,ok,
0562,ok,
1177,ok,
1163,ok,
2458,ok,
2272,ok,
2723,ok,
0771,ok,
1334,ok,
1957,ok,
0597,ok,
0047,ok,
2623,ok,
2085,ok,
2206,ok,
0611,ok,
2036,ok,
2712,ok,
2791,ok,
0899,ok,
1205,ok,
1280,ok,
1535,ok,
2155,ok,
2496,ok,
2935,ok,
1296,ok,
1988,ok,
2769,ok,
0045,ok,
0589,ok,
1800,ok,
2593,ok,
0593,ok,
2472,ok,
2876,ok,
2930,ok,
0394,ok,
1862,ok,
0349,ok,
1096,ok,
2098,ok,
2028,ok,
1351,ok,
1001,ok,
0624,ok,
1725,ok,
1816,ok,
0250,ok,
2204,ok,
2416,ok,
1404,ok,
2235,ok,
1053,ok,
1582,ok,
1591,ok,
0818,ok,
1185,ok,
1684,ok,
0055,ok,
0401,ok,
0998,ok,
1894,ok,
0491,ok,
1720,ok,
2614,ok,
2837,ok,
1141,ok,
1593,ok,
0261,ok,
1298,ok,
0612,ok,
2138,ok,
2878,ok,
1245,ok,
1959,ok,
0850,ok,
2034,ok,
1997,ok,
2395,ok,
2858,ok,
1522,ok,
2095,ok,
1220,ok,
1411,ok,
1632,ok,
2494,ok,
0247,ok,
1176,ok,
0798,ok,
2865,ok,
1680,ok,
2298,ok,
1056,ok,
0807,ok,
1073,ok,
1313,ok,
2493,ok,
2074,ok,
0925,ok,
0039,ok,
2600,ok,
2305,ok,
1299,ok,
2213,ok,
0877,ok,
2041,ok,
1295,ok,
2665,ok,
0281,ok,
1440,ok,
1937,ok,
2575,ok,
0455,ok,
1307,ok,
2391,ok,
0791,ok,
2165,ok,
2454,ok,
0259,ok,
2681,ok,
0746,ok,
1445,ok,
2172,ok,
0103,ok,
0423,ok,
2051,ok,
1624,ok,
1779,ok,
0657,ok,
1248,ok,
2777,ok,
0038,ok,
1446,ok,
0508,ok,
1745,ok,
1752,ok,
2490,ok,
2759,ok,
1303,ok,
2743,ok,
2841,ok,
1120,ok,
2741,ok,
2953,ok,
0948,ok,
2676,ok,
0481,ok,
1010,ok,
1071,ok,
1846,ok,
0053,ok,
0279,ok,
0410,ok,
1801,ok,
2788,ok,
0209,ok,
1474,ok,
1620,ok,
1197,ok,
1993,ok,
2090,ok,
0282,ok,
0974,ok,
2563,ok,
0457,ok,
1350,ok,
1435,ok,
1465,ok,
1490,ok,
1493,ok,
2949,ok,
0370,ok,
1611,ok,
1681,ok,
2468,ok,
2756,ok,
0544,ok,
1089,ok,
0738,ok,
2387,ok,
2293,ok,
2802,ok,
1621,ok,
2695,ok,
2139,ok,
2424,ok,
0393,ok,
0917,ok,
2807,ok,
1086,ok,
2694,ok,
2662,ok,
2892,ok,
2429,ok,
0298,ok,
1444,ok,
1662,ok,
1789,ok,
0541,ok,
1064,ok,
2302,ok,
1242,ok,
1639,ok,
1106,ok,
1973,ok,
2258,ok,
1989,ok,
1159,ok,
1498,ok,
1232,ok,
1776,ok,
2046,ok,
2346,ok,
0796,ok,
1792,ok,
1928,ok,
1169,ok,
1082,ok,
1373,ok,
0571,ok,
0858,ok,
1927,ok,
2054,ok,
2245,ok,
0092,ok,
1380,ok,
0200,ok,
0502,ok,
0872,ok,
2075,ok,
0406,ok,
0996,ok,
1598,ok,
2163,ok,
2827,ok,
1827,ok,
1447,ok,
2866,ok,
2114,ok,
0830,ok,
0042,ok,
2195,ok,
0892,ok,
1072,ok,
0398,ok,
2691,ok,
2784,ok,
2378,ok,
0007,ok,
1045,ok,
1481,ok,
1933,ok,
0362,ok,
1830,ok,
2175,ok,
2801,ok,
0005,ok,
0258,ok,
0774,ok,
1041,ok,
1461,ok,
1668,ok,
0333,ok,
1085,ok,
1757,ok,
2688,ok,
2404,ok,
1035,ok,
2285,ok,
2734,ok,
0668,ok,
1310,ok,
1995,ok,
1341,ok,
1577,ok,
1328,ok,
2474,ok,
0198,ok,
0307,ok,
0670,ok,
1438,ok,
2278,ok,
0387,ok,
0579,ok,
1392,ok,
1838,ok,
1132,ok,
1265,ok,
2958,ok,
0425,ok,
1043,ok,
1514,ok,
2016,ok,
1243,ok,
2253,ok,
0314,ok,
0952,ok,
0802,ok,
1699,ok,
2264,ok,
2982,ok,
0374,ok,
0563,ok,
2198,ok,
2372,ok,
2939,ok,
1250,ok,
1791,ok,
1517,ok,
2104,ok,
2153,ok,
2567,ok,
1059,ok,
1949,ok,
1051,ok,
1567,ok,
2146,ok,
2976,ok,
0404,ok,
0866,ok,
0910,ok,
1570,ok,
1653,ok,
1929,ok,
2499,ok,
2938,ok,
0489,ok,
1549,ok,
0601,ok,
1420,ok,
2338,ok,
2583,ok,
0365,ok,
1746,ok,
2131,ok,
2544,ok,
2842,ok,
1700,ok,
2957,ok,
2913,ok,
2809,ok,
0800,ok,
0979,ok,
0639,ok,
1054,ok,
2983,ok,
1269,ok,
2023,ok,
2745,ok,
2136,ok,
1024,ok,
2616,ok,
0239,ok,
0253,ok,
0836,ok,
2558,ok,
1044,ok,
1149,ok,
1423,ok,
1527,ok,
0498,ok,
0915,ok,
1999,ok,
1305,ok,
1559,ok,
2581,ok,
0280,ok,
1391,ok,
2795,ok,
0629,ok,
2049,ok,
1257,ok,
2116,ok,
2670,ok,
0091,ok,
0739,ok,
1515,ok,
2642,ok,
1140,ok,
1361,ok,
2079,ok,
2453,ok,
2718,ok,
1970,ok,
0367,ok,
1667,ok,
2879,ok,
2661,ok,
0864,ok,
1038,ok,
1134,ok,
1403,ok,
1487,ok,
0201,ok,
2126,ok,
2166,ok,
2698,ok,
0031,ok,
1415,ok,
1451,ok,
1900,ok,
2881,ok,
2803,ok,
0764,ok,
2234,ok,
2508,ok,
1180,ok,
2452,ok,
0537,ok,
1289,ok,
1931,ok,
2032,ok,
2626,ok,
1336,ok,
1496,ok,
1528,ok,
2536,ok,
0218,ok,
1468,ok,
1513,ok,
0848,ok,
1542,ok,
1812,ok,
2820,ok,
0479,ok,
0548,ok,
0588,ok,
1244,ok,
2007,ok,
2323,ok,
2771,ok,
0046,ok,
1077,ok,
2462,ok,
0985,ok,
2708,ok,
0098,ok,
0567,ok,
1122,ok,
2010,ok,
0527,ok,
1223,ok,
2099,ok,
2653,ok,
2664,ok,
2776,ok,
1917,ok,
0260,ok,
1574,ok,
1657,ok,
1884,ok,
1889,ok,
2433,ok,
0682,ok,
1429,ok,
1450,ok,
1938,ok,
0205,ok,
1147,ok,
1160,ok,
0865,ok,
1365,ok,
2347,ok,
0084,ok,
2083,ok,
0559,ok,
0748,ok,
2641,ok,
2871,ok,
1190,ok,
1092,ok,
1093,ok,
1870,ok,
1969,ok,
1978,ok,
2107,ok,
0882,ok,
1615,ok,
2173,ok,
2251,ok,
2516,ok,
0817,ok,
0870,ok,
1462,ok,
1540,ok,
2343,ok,
2512,ok,
2651,ok,
1358,ok,
2545,ok,
0345,ok,
1118,ok,
0755,ok,
0021,ok,
1002,ok,
2505,ok,
1685,ok,
2707,ok,
0826,ok,
2867,ok,
0376,ok,
1878,ok,
0653,ok,
1052,ok,
2643,ok,
0308,ok,
0577,ok,
1506,ok,
1000,ok,
1880,ok,
0442,ok,
1137,ok,
0347,ok,
1111,ok,
1201,ok,
1417,ok,
1439,ok,
1952,ok,
2503,ok,
1739,ok,
2630,ok,
1583,ok,
2774,ok,
2307,ok,
2335,ok,
1585,ok,
1856,ok,
2319,ok,
2731,ok,
0193,ok,
1597,ok,
1986,ok,
2013,ok,
1718,ok,
0357,ok,
2344,ok,
2610,ok,
2612,ok,
0861,ok,
1661,ok,
1822,ok,
2320,ok,
0003,ok,
0832,ok,
1058,ok,
1596,ok,
1631,ok,
2755,ok,
1249,ok,
1262,ok,
2185,ok,
0472,ok,
1099,ok,
2217,ok,
2407,ok,
2417,ok,
0550,ok,
1057,ok,
2466,ok,
2534,ok,
2817,ok,
0957,ok,
0514,ok,
1934,ok,
2222,ok,
2507,ok,
0497,ok,
0814,ok,
1669,ok,
1692,ok,
2333,ok,
0953,ok,
1285,ok,
1634,ok,
2786,ok,
2816,ok,
2985,ok,
1030,ok,
1255,ok,
1407,ok,
2537,ok,
2696,ok,
2191,ok,
0531,ok,
0805,ok,
0903,ok,
0278,ok,
1605,ok,
0659,ok,
1337,ok,
0590,ok,
2177,ok,
0613,ok,
2473,ok,
2633,ok,
0900,ok,
1292,ok,
2148,ok,
2350,ok,
2396,ok,
2921,ok,
1364,ok,
1457,ok,
1882,ok,
2798,ok,
0616,ok,
1398,ok,
1564,ok,
1867,ok,
2636,ok,
1586,ok,
1648,ok,
1810,ok,
0592,ok,
2009,ok,
2130,ok,
0037,ok,
0439,ok,
1804,ok,
2355,ok,
2767,ok,
2813,ok,
1386,ok,
1537,ok,
2211,ok,
2640,ok,
2874,ok,
0728,ok,
1112,ok,
2077,ok,
1875,ok,
1983,ok,
2292,ok,
2780,ok,
1297,ok,
2291,ok,
2405,ok,
2728,ok,
0650,ok,
0202,ok,
1557,ok,
1819,ok,
0509,ok,
1076,ok,
1412,ok,
2018,ok,
0988,ok,
1080,ok,
1601,ok,
2710,ok,
0920,ok,
1427,ok,
0775,ok,
2224,ok,
2300,ok,
2354,ok,
2899,ok,
2948,ok,
1004,ok,
1759,ok,
0768,ok,
1595,ok,
2560,ok,
1314,ok,
1807,ok,
2365,ok,
2627,ok,
0609,ok,
0780,ok,
0935,ok,
1829,ok,
2043,ok,
2673,ok,
2917,ok,
0984,ok,
2965,ok,
2351,ok,
2471,ok,
1131,ok,
0392,ok,
2214,ok,
2671,ok,
0637,ok,
2479,ok,
2657,ok,
0824,ok,
1851,ok,
2483,ok,
0295,ok,
0897,ok,
1012,ok,
2443,ok,
0862,ok,
1143,ok,
2183,ok,
0706,ok,
1826,ok,
2400,ok,
1060,ok,
1381,ok,
2717,ok,
1135,ok,
1484,ok,
1614,ok,
2421,ok,
2492,ok,
2973,ok,
1208,ok,
1778,ok,
2902,ok,
0026,ok,
2974,ok,
1049,ok,
1144,ok,
2523,ok,
0204,ok,
1209,ok,
1356,ok,
1405,ok,
1530,ok,
0369,ok,
0895,ok,
1815,ok,
0050,ok,
1318,ok,
2993,ok,
0381,ok,
2481,ok,
2752,ok,
2815,ok,
0206,ok,
1107,ok,
2369,ok,
0240,ok,
2226,ok,
2729,ok,
0338,ok,
0495,ok,
1005,ok,
1104,ok,
1974,ok,
2176,ok,
2360,ok,
2414,ok,
2995,ok,
0712,ok,
2489,ok,
2725,ok,
0214,ok,
0558,ok,
2203,ok,
2450,ok,
0823,ok,
2423,ok,
0703,ok,
1630,ok,
2230,ok,
0822,ok,
0845,ok,
2830,ok,
0077,ok,
0254,ok,
1170,ok,
2194,ok,
2478,ok,
2891,ok,
2650,ok,
2654,ok,
1133,ok,
1385,ok,
0081,ok,
1282,ok,
2193,ok,
0641,ok,
1146,ok,
1187,ok,
2286,ok,
2840,ok,
0643,ok,
0842,ok,
1967,ok,
2915,ok,
0225,ok,
0600,ok,
0829,ok,
2144,ok,
0417,ok,
2070,ok,
2625,ok,
2806,ok,
0539,ok,
1019,ok,
2828,ok,
2986,ok,
2487,ok,
0348,ok,
0767,ok,
1820,ok,
2457,ok,
2850,ok,
2987,ok,
0181,ok,
0289,ok,
2660,ok,
2869,ok,
2963,ok,
2067,ok,
2386,ok,
2968,ok,
0752,ok,
1406,ok,
2228,ok,
2337,ok,
2352,ok,
1268,ok,
1619,ok,
1947,ok,
1924,ok,
0484,ok,
1355,ok,
1762,ok,
1766,ok,
1550,ok,
2497,ok,
0292,ok,
0815,ok,
1690,ok,
2275,ok,
0405,ok,
1174,ok,
1641,ok,
2058,ok,
2119,ok,
2689,ok,
0978,ok,
2656,ok,
2314,ok,
2402,ok,
2564,ok,
2979,ok,
0732,ok,
0753,ok,
1589,ok,
2310,ok,
2509,ok,
2371,ok,
2413,ok,
2619,ok,
0556,ok,
1164,ok,
2212,ok,
2720,ok,
0359,ok,
1027,ok,
2700,ok,
2768,ok,
0632,ok,
1198,ok,
1344,ok,
1594,ok,
2853,ok,
1489,ok,
1754,ok,
1877,ok,
2684,ok,
1369,ok,
1382,ok,
1883,ok,
1922,ok,
2048,ok,
2683,ok,
2659,ok,
1455,ok,
1578,ok,
0596,ok,
2012,ok,
1178,ok,
1237,ok,
1946,ok,
0305,ok,
2025,ok,
2607,ok,
0355,ok,
1319,ok,
2880,ok,
0769,ok,
1485,ok,
1610,ok,
1722,ok,
1769,ok,
2679,ok,
1921,ok,
2053,ok,
2348,ok,
2824,ok,
2996,ok,
0340,ok,
0427,ok,
1207,ok,
2182,ok,
2573,ok,
2186,ok,
2750,ok,
0099,ok,
2202,ok,
1371,ok,
1658,ok,
2088,ok,
2327,ok,
2848,ok,
0426,ok,
0604,ok,
1070,ok,
1317,ok,
1357,ok,
2588,ok,
2566,ok,
1825,ok,
0341,ok,
2092,ok,
0210,ok,
0922,ok,
0006,ok,
0607,ok,
2495,ok,
2742,ok,
1151,ok,
2401,ok,
2941,ok,
1210,ok,
2685,ok,
0203,ok,
1599,ok,
2376,ok,
1910,ok,
2197,ok,
1909,ok,
1985,ok,
2047,ok,
2954,ok,
1003,ok,
1374,ok,
2787,ok,
0758,ok,
1618,ok,
0263,ok,
0346,ok,
0941,ok,
2033,ok,
2647,ok,
0434,ok,
0620,ok,
1990,ok,
2999,ok,
0702,ok,
1785,ok,
0243,ok,
0470,ok,
1074,ok,
1189,ok,
1566,ok,
2714,ok,
2883,ok,
2975,ok,
0065,ok,
0264,ok,
1853,ok,
0977,ok,
1158,ok,
1377,ok,
1525,ok,
1538,ok,
0296,ok,
1148,ok,
1607,ok,
1691,ok,
1494,ok,
2152,ok,
2561,ok,
0891,ok,
0963,ok,
2392,ok,
2555,ok,
2595,ok,
0987,ok,
2522,ok,
1229,ok,
1571,ok,
2925,ok,
0501,ok,
0890,ok,
1008,ok,
1592,ok,
1950,ok,
2072,ok,
2739,ok,
0213,ok,
0458,ok,
1508,ok,
2068,ok,
2190,ok,
2276,ok,
0371,ok,
1091,ok,
0857,ok,
1276,ok,
1781,ok,
1920,ok,
2342,ok,
2389,ok,
1061,ok,
1678,ok,
0323,ok,
1459,ok,
2169,ok,
2440,ok,
0966,ok,
0990,ok,
1202,ok,
1707,ok,
2125,ok,
0530,ok,
1777,ok,
2097,ok,
1219,ok,
1906,ok,
2428,ok,
2823,ok,
0452,ok,
1264,ok,
1458,ok,
1660,ok,
1939,ok,
2624,ok,
0076,ok,
0697,ok,
1541,ok,
1544,ok,
2000,ok,
2637,ok,
2059,ok,
2170,ok,
2331,ok,
2461,ok,
2582,ok,
0499,ok,
0840,ok,
1138,ok,
2215,ok,
0647,ok,
0685,ok,
1304,ok,
2572,ok,
2704,ok,
0512,ok,
1879,ok,
1981,ok,
2056,ok,
0337,ok,
1181,ok,
1241,ok,
1410,ok,
1536,ok,
1749,ok,
2196,ok,
0765,ok,
2890,ok,
0967,ok,
1271,ok,
1363,ok,
2475,ok,
0466,ok,
0483,ok,
1723,ok,
2322,ok,
2530,ok,
0742,ok,
1418,ok,
1428,ok,
1724,ok,
2017,ok,
0212,ok,
1717,ok,
2024,ok,
2274,ok,
2765,ok,
1110,ok,
2026,ok,
1509,ok,
0474,ok,
0837,ok,
1573,ok,
1581,ok,
2446,ok,
2520,ok,
2804,ok,
0642,ok,
0983,ok,
1346,ok,
1456,ok,
1646,ok,
1918,ok,
0438,ok,
2706,ok,
0067,ok,
0310,ok,
0729,ok,
1384,ok,
0008,ok,
2289,ok,
0087,ok,
0277,ok,
0343,ok,
2008,ok,
2050,ok,
2263,ok,
0335,ok,
0793,ok,
2514,ok,
0424,ok,
0621,ok,
1068,ok,
1629,ok,
1738,ok,
2268,ok,
0867,ok,
1656,ok,
2179,ok,
2559,ok,
2833,ok,
0886,ok,
1495,ok,
2364,ok,
1014,ok,
1259,ok,
1378,ok,
1616,ok,
1955,ok,
2411,ok,
2435,ok,
2923,ok,
1083,ok,
1670,ok,
2112,ok,
2266,ok,
0208,ok,
1290,ok,
2061,ok,
0549,ok,
0587,ok,
1823,ok,
2109,ok,
0086,ok,
1666,ok,
0245,ok,
1956,ok,
1805,ok,
2184,ok,
0792,ok,
1018,ok,
1772,ok,
0884,ok,
1683,ok,
2893,ok,
1480,ok,
2578,ok,
0454,ok,
0684,ok,
1425,ok,
2439,ok,
2456,ok,
2602,ok,
2972,ok,
1587,ok,
1869,ok,
2020,ok,
0291,ok,
0351,ok,
0422,ok,
1308,ok,
1640,ok,
1741,ok,
1763,ok,
1291,ok,
1563,ok,
1580,ok,
1697,ok,
0309,ok,
1155,ok,
2071,ok,
2100,ok,
0951,ok,
1926,ok,
2330,ok,
1998,ok,
0894,ok,
1572,ok,
1886,ok,
2515,ok,
2592,ok,
2313,ok,
2540,ok,
2596,ok,
2916,ok,
0344,ok,
0618,ok,
1845,ok,
2029,ok,
2589,ok,
2932,ok,
2141,ok,
0954,ok,
1022,ok,
1347,ok,
1497,ok,
2703,ok,
2748,ok,
0302,ok,
0972,ok,
2132,ok,
2459,ok,
2907,ok,
0625,ok,
1183,ok,
1802,ok,
1966,ok,
2227,ok,
2438,ok,
2447,ok,
2895,ok,
0097,ok,
0431,ok,
0614,ok,
0942,ok,
2325,ok,
2856,ok,
2955,ok,
1492,ok,
1622,ok,
0035,ok,
0242,ok,
0449,ok,
1390,ok,
1432,ok,
2113,ok,
2316,ok,
2412,ok,
0463,ok,
0741,ok,
0756,ok,
0757,ok,
1735,ok,
2988,ok,
0885,ok,
1194,ok,
1395,ok,
1719,ok,
1809,ok,
2326,ok,
0731,ok,
1569,ok,
1664,ok,
2102,ok,
0505,ok,
2370,ok,
0482,ok,
1965,ok,
2233,ok,
2246,ok,
2309,ok,
0871,ok,
1478,ok,
1705,ok,
2187,ok,
2646,ok,
0936,ok,
1171,ok,
2849,ok,
0468,ok,
0707,ok,
0847,ok,
1212,ok,
1434,ok,
1507,ok,
0294,ok,
0421,ok,
0819,ok,
1686,ok,
2936,ok,
1708,ok,
1033,ok,
1327,ok,
2488,ok,
0017,ok,
0339,ok,
1811,ok,
2231,ok,
0363,ok,
1368,ok,
2057,ok,
2419,ok,
0207,ok,
1235,ok,
2724,ok,
0082,ok,
0743,ok,
0759,ok,
1962,ok,
2081,ok,
0921,ok,
0945,ok,
1688,ok,
2250,ok,
2294,ok,
2312,ok,
2772,ok,
0094,ok,
0510,ok,
0520,ok,
0521,ok,
0233,ok,
1065,ok,
0745,ok,
1016,ok,
2069,ok,
2491,ok,
1214,ok,
1651,ok,
2898,ok,
0244,ok,
0595,ok,
0779,ok,
1114,ok,
1175,ok,
1679,ok,
2403,ok,
0937,ok,
1702,ok,
1832,ok,
1891,ok,
2579,ok,
2758,ok,
0029,ok,
0473,ok,
0105,ok,
0680,ok,
0718,ok,
1449,ok,
0674,ok,
1278,ok,
1881,ok,
2209,ok,
2960,ok,
0487,ok,
0722,ok,
1184,ok,
1270,ok,
1902,ok,
2430,ok,
1124,ok,
1715,ok,
2101,ok,
0020,ok,
0246,ok,
0654,ok,
0762,ok,
1009,ok,
2529,ok,
0956,ok,
1971,ok,
2207,ok,
2476,ok,
2770,ok,
1037,ok,
1414,ok,
1795,ok,
2134,ok,
2164,ok,
2281,ok,
0433,ok,
2223,ok,
0004,ok,
0378,ok,
0781,ok,
1954,ok,
2699,ok,
1367,ok,
1588,ok,
2442,ok,
0256,ok,
0711,ok,
1020,ok,
1944,ok,
2249,ok,
2672,ok,
2885,ok,
0493,ok,
0717,ok,
0912,ok,
1604,ok,
2084,ok,
2225,ok,
2749,ok,
0079,ok,
1850,ok,
2140,ok,
2526,ok,
2814,ok,
2909,ok,
0564,ok,
1453,ok,
1568,ok,
2410,ok,
1288,ok,
1655,ok,
2524,ok,
2666,ok,
2947,ok,
1117,ok,
2441,ok,
0801,ok,
1703,ok,
2818,ok,
0516,ok,
2002,ok,
2168,ok,
2584,ok,
2870,ok,
0319,ok,
0545,ok,
0555,ok,
0561,ok,
0602,ok,
2218,ok,
0902,ok,
1871,ok,
2001,ok,
0506,ok,
0633,ok,
1200,ok,
1431,ok,
1470,ok,
2110,ok,
2374,ok,
0418,ok,
0666,ok,
2539,ok,
0058,ok,
0270,ok,
0552,ok,
0688,ok,
0856,ok,
1671,ok,
1817,ok,
0388,ok,
0582,ok,
1343,ok,
2638,ok,
0790,ok,
2445,ok,
2678,ok,
2945,ok,
0568,ok,
0914,ok,
0964,ok,
1013,ok,
1834,ok,
2382,ok,
2838,ok,
0777,ok,
1115,ok,
1635,ok,
1782,ok,
1808,ok,
2598,ok,
2299,ok,
2556,ok,
2785,ok,
0662,ok,
1748,ok,
1761,ok,
2444,ok,
0638,ok,
0955,ok,
0959,ok,
2570,ok,
2927,ok,
0736,ok,
1315,ok,
2810,ok,
0557,ok,
1366,ok,
1813,ok,
2463,ok,
0734,ok,
1643,ok,
1647,ok,
1775,ok,
2381,ok,
0795,ok,
1087,ok,
1768,ok,
2200,ok,
1372,ok,
1626,ok,
2006,ok,
0603,ok,
1553,ok,
0518,ok,
1236,ok,
1532,ok,
1628,ok,
1935,ok,
2208,ok,
0696,ok,
1562,ok,
1695,ok,
1901,ok,
1186,ok,
2290,ok,
0773,ok,
1362,ok,
1710,ok,
2901,ok,
1842,ok,
1912,ok,
1608,ok,
2040,ok,
2460,ok,
0698,ok,
1345,ok,
0737,ok,
2180,ok,
0525,ok,
0760,ok,
0806,ok,
1353,ok,
2248,ok,
2622,ok,
2912,ok,
0192,ok,
0875,ok,
1389,ok,
2617,ok,
2773,ok,
1732,ok,
1764,ok,
1996,ok,
0661,ok,
1486,ok,
2239,ok,
2843,ok,
0366,ok,
0377,ok,
1252,ok,
2477,ok,
2498,ok,
0844,ok,
0965,ok,
1652,ok,
1793,ok,
2910,ok,
0560,ok,
0199,ok,
1312,ok,
1603,ok,
1771,ok,
1987,ok,
0853,ok,
1552,ok,
1309,ok,
0719,ok,
0649,ok,
1100,ok,
1698,ok,
1742,ok,
0772,ok,
0272,ok,
0733,ok,
0786,ok,
